,0,1,2,3,4,5
298,1120.88,1070.15,1072.48,211.33,0,
299,1120.92,1070.13,1072.44,212.5,0,
300,1120.94,1070.15,1072.49,210.55,0,
301,1120.96,1070.14,1072.46,210.55,0,
302,1120.89,1070.17,1072.47,214.06,0,
303,1120.94,1070.17,1072.48,211.72,0,
304,1120.95,1070.13,1072.47,211.33,0,
305,1120.92,1070.17,1072.44,213.67,0,
306,1120.89,1070.13,1072.45,213.28,0,
307,1120.93,1070.15,1072.43,210.94,0,
308,1120.93,1070.14,1072.46,212.5,0,
309,1120.92,1070.1,1072.46,212.89,0,
310,1120.98,1070.14,1072.46,212.11,0,
311,1120.98,1070.16,1072.46,212.11,0,
312,1120.98,1070.14,1072.47,212.11,0,
