,0,1,2,3,4,5
333,1116.87,1065.91,1068.44,213.28,0,
334,1116.8,1065.88,1068.36,211.72,0,
335,1116.82,1065.88,1068.43,212.11,0,
336,1116.78,1065.86,1068.42,211.72,0,
337,1116.86,1065.86,1068.44,213.28,0,
338,1116.84,1065.9,1068.47,213.28,0,
339,1116.8,1065.89,1068.44,210.55,0,
340,1116.81,1065.89,1068.44,213.28,0,
341,1116.86,1065.88,1068.42,210.55,0,
342,1116.8,1065.87,1068.46,212.11,0,
343,1116.8,1065.88,1068.45,212.89,0,
344,1116.85,1065.89,1068.42,213.28,0,
345,1116.83,1065.85,1068.46,212.89,0,
346,1116.84,1065.89,1068.45,212.5,0,
347,1116.83,1065.8,1068.44,212.89,0,
348,1116.85,1065.84,1068.42,211.72,0,
349,1116.82,1065.86,1068.42,213.67,0,
350,1116.8,1065.85,1068.42,212.11,0,
351,1116.8,1065.84,1068.45,213.67,0,
352,1116.82,1065.86,1068.43,212.11,0,
353,1116.78,1065.87,1068.41,212.11,0,
354,1116.86,1065.86,1068.44,212.11,0,
355,1116.82,1065.88,1068.44,210.94,0,
356,1116.84,1065.85,1068.41,211.33,0,
357,1116.79,1065.88,1068.45,211.72,0,
358,1116.8,1065.87,1068.4,213.67,0,
359,1116.8,1065.88,1068.41,213.67,0,
360,1116.79,1065.86,1068.42,212.5,0,
361,1116.84,1065.87,1068.42,212.89,0,
362,1116.76,1065.84,1068.42,211.33,0,
363,1116.86,1065.85,1068.4,213.67,0,
364,1116.82,1065.85,1068.44,211.72,0,
365,1116.8,1065.85,1068.43,210.16,0,
366,1116.8,1065.86,1068.43,211.33,0,
367,1116.82,1065.85,1068.48,212.89,0,
368,1116.8,1065.85,1068.41,212.11,0,
369,1116.84,1065.85,1068.41,213.67,0,
370,1116.81,1065.82,1068.42,211.72,0,
371,1116.77,1065.86,1068.41,211.33,0,
372,1116.79,1065.84,1068.41,212.89,0,
373,1116.81,1065.85,1068.44,213.28,0,
374,1116.89,1065.88,1068.41,211.72,0,
375,1116.84,1065.86,1068.41,211.72,0,
